dataset,baseline,comparison,dataset_baseline_accuracy,dataset_comparison_accuracy,dataset_difference,dataset_z,dataset_p_value,dataset_large_sample,fold_mean_difference,fold_matched_t,fold_matched_df,fold_matched_p_value
Banknote Authentication,NBC,Bagging NBC (10),0.8979591836734694,0.8965014577259475,-0.001457725947521915,-0.12573421385104305,0.8999423180391652,True,-0.0014704711347046872,-0.28115657480499306,4,0.7925346836368136
Banknote Authentication,NBC,Bagging NBC (20),0.8979591836734694,0.8994169096209913,0.001457725947521915,0.1265327990082207,0.8993101878307586,True,0.0014518911745189378,0.38664688869998576,4,0.7187056341536076
Banknote Authentication,NBC,Bagging NBC (30),0.8979591836734694,0.9008746355685131,0.002915451895043719,0.25387791685089917,0.7995898757656432,True,0.0029037823490378535,0.5577124185222145,4,0.6067779069741654
Banknote Authentication,Bagging NBC (10),Bagging NBC (20),0.8965014577259475,0.8994169096209913,0.00291545189504383,0.25226248955476505,0.8008381797069885,True,0.002922362309223625,1.0917827732367489,4,0.3362805175903609
Banknote Authentication,Bagging NBC (10),Bagging NBC (30),0.8965014577259475,0.9008746355685131,0.004373177842565634,0.3795983970246523,0.7042435508967256,True,0.004374253483742541,1.6351942459143136,4,0.1773480911924889
Banknote Authentication,Bagging NBC (20),Bagging NBC (30),0.8994169096209913,0.9008746355685131,0.001457725947521804,0.127349807005604,0.8986635408916975,True,0.0014518911745189157,0.5874325296051697,4,0.5884726767521156
Glass Identification,NBC,Bagging NBC (10),0.602803738317757,0.616822429906542,0.014018691588784993,0.29727928651278623,0.7662532941794865,True,0.014396456256921365,0.40019896492105184,4,0.7094619814113152
Glass Identification,NBC,Bagging NBC (20),0.602803738317757,0.6261682242990654,0.02336448598130836,0.4965603545750332,0.6194991163162156,True,0.023145071982281273,1.0462955929410307,4,0.3544822168266577
Glass Identification,NBC,Bagging NBC (30),0.602803738317757,0.6448598130841121,0.04205607476635509,0.8980402978591572,0.36916406592798323,True,0.04230343300110743,1.209660551176005,4,0.29301020200387984
Glass Identification,Bagging NBC (10),Bagging NBC (20),0.616822429906542,0.6261682242990654,0.009345794392523366,0.19932122819623047,0.8420114746252488,True,0.008748615725359909,0.21996612479410632,4,0.8366675365510441
Glass Identification,Bagging NBC (10),Bagging NBC (30),0.616822429906542,0.6448598130841121,0.028037383177570097,0.6009837224078172,0.5478508280292007,True,0.027906976744186063,3.2071349029490896,4,0.03267792333680307
Glass Identification,Bagging NBC (20),Bagging NBC (30),0.6261682242990654,0.6448598130841121,0.01869158878504673,0.4017307954039213,0.6878821580649825,True,0.019158361018826155,0.5566068522238374,4,0.6074657594736907
Image Segmentation,NBC,Bagging NBC (10),0.8,0.7904761904761904,-0.009523809523809601,-0.2418422539821553,0.8089023965875964,True,-0.009523809523809535,-0.7844645405527362,4,0.4766206672728413
Image Segmentation,NBC,Bagging NBC (20),0.8,0.8,0.0,0.0,1.0,True,0.0,0.0,4,1.0
Image Segmentation,NBC,Bagging NBC (30),0.8,0.8,0.0,0.0,1.0,True,0.0,0.0,4,1.0
Image Segmentation,Bagging NBC (10),Bagging NBC (20),0.7904761904761904,0.8,0.009523809523809601,0.2418422539821553,0.8089023965875964,True,0.009523809523809535,1.632993161855452,4,0.17780780835622126
Image Segmentation,Bagging NBC (10),Bagging NBC (30),0.7904761904761904,0.8,0.009523809523809601,0.2418422539821553,0.8089023965875964,True,0.009523809523809535,0.38851434494290626,4,0.7174283599144877
Image Segmentation,Bagging NBC (20),Bagging NBC (30),0.8,0.8,0.0,0.0,1.0,True,0.0,0.0,4,1.0
