dataset,model,base_models,mean_accuracy,std_accuracy,total_correct,total_instances
Banknote Authentication,NBC,1,0.8979721300597212,0.032057201492455153,1232,1372
Banknote Authentication,Bagging NBC (10),10,0.8965016589250165,0.036703699578985574,1230,1372
Banknote Authentication,Bagging NBC (20),20,0.8994240212342403,0.03669017074861894,1234,1372
Banknote Authentication,Bagging NBC (30),30,0.9008759124087591,0.034353031420300446,1236,1372
Glass Identification,NBC,1,0.6028792912513843,0.09683623961501647,129,214
Glass Identification,Bagging NBC (10),10,0.6172757475083056,0.12456035199165905,132,214
Glass Identification,Bagging NBC (20),20,0.6260243632336655,0.0706729890819033,134,214
Glass Identification,Bagging NBC (30),30,0.6451827242524917,0.11335672805474845,138,214
Image Segmentation,NBC,1,0.8,0.05976143046671964,168,210
Image Segmentation,Bagging NBC (10),10,0.7904761904761906,0.06388765649999399,166,210
Image Segmentation,Bagging NBC (20),20,0.8,0.06432979088622043,168,210
Image Segmentation,Bagging NBC (30),30,0.8,0.04325214791567842,168,210
